email,url
cybercell@paytm.com,https://paytm.com/
cybercell@paytm.com,https://paytm.com/shop/h/vouchers?src=store&from=storefront
cybercell@paytm.com,https://paytm.com/events
"hotel.helpdesk@paytm.com,cybercell@paytm.com,0410ce5f7a3a4c58bb301150a45235d4@sentry.io",https://paytm.com/hotels
"cybercell@paytm.com,0410ce5f7a3a4c58bb301150a45235d4@sentry.io",https://paytm.com/flights
"cybercell@paytm.com,0410ce5f7a3a4c58bb301150a45235d4@sentry.io",https://paytm.com/bus-tickets
"eticket@irctc.co.in,eticket@irctc.co.in,cybercell@paytm.com,0410ce5f7a3a4c58bb301150a45235d4@sentry.io",https://paytm.com/train-tickets
"cybercell@paytm.com,0410ce5f7a3a4c58bb301150a45235d4@sentry.io",https://paytm.com/international-flights
cybercell@paytm.com,https://paytm.com/movies
cybercell@paytm.com,https://paytm.com/shop/h/deals-for-you?src=store&from=storefront
ESPN+@no-vote.com,https://help.espnplus.com/hc/en-us/articles/360026126892-ESPN-Subscriber-Agreement
"privacy.department@nielsen.com,privacy.department@nielsen.com,privacy.department@nielsen.com",https://www.nielsen.com/us/en/legal/privacy-statement/digital-measurement/
"service@templeton.com,service@templeton.com",https://www.paytmmoney.com/mutual-funds/scheme/franklin-india-smaller-companies-direct-fund-growth/inf090i01iq4
"investor.line@lntmf.co.in,investor.line@lntmf.co.in",https://www.paytmmoney.com/mutual-funds/scheme/lnt-india-value-fund-direct-growth/inf917k01hd4
"investor.line@lntmf.co.in,investor.line@lntmf.co.in",https://www.paytmmoney.com/mutual-funds/scheme/lnt-emerging-businesses-fund-direct-growth/inf917k01qa1
"mutual@kotak.com,mutual@kotak.com",https://www.paytmmoney.com/mutual-funds/scheme/kotak-standard-multicap-fund-direct-growth/inf174k01ls2
"customer.delight@sbimf.com,customer.delight@sbimf.com",https://www.paytmmoney.com/mutual-funds/scheme/sbi-bluechip-direct-plan-growth/inf200k01qx4
"investormf@idfc.com,investormf@idfc.com",https://www.paytmmoney.com/mutual-funds/amc/idfc-mutual-fund
"getintouch@axismf.com,customerservice@axismf.com,getintouch@axismf.com,customerservice@axismf.com",https://www.paytmmoney.com/mutual-funds/scheme/axis-long-term-equity-direct-plan-growth/inf846k01ew2
"customer_care@nipponindiamf.com,customer_care@nipponindiamf.com",https://www.paytmmoney.com/mutual-funds/scheme/reliance-small-cap-fund-direct-growth/inf204k01k15
"customerservices@sundarammutual.com,customerservices@sundarammutual.com",https://www.paytmmoney.com/mutual-funds/amc/sundaram-mutual-fund
"mutual@kotak.com,mutual@kotak.com",https://www.paytmmoney.com/mutual-funds/amc/kotak-mahindra-mutual-fund
"customercare@miraeassetmf.co.in,customercare@miraeassetmf.co.in",https://www.paytmmoney.com/mutual-funds/scheme/mirae-asset-emerging-bluechip-fund-direct-growth/inf769k01bi1
"enquiry@icicipruamc.com,enquiry@icicipruamc.com",https://www.paytmmoney.com/mutual-funds/amc/icici-prudential-mutual-fund
"investor.line@lntmf.co.in,investor.line@lntmf.co.in",https://www.paytmmoney.com/mutual-funds/amc/lnt-mutual-fund
"getintouch@axismf.com,customerservice@axismf.com,getintouch@axismf.com,customerservice@axismf.com",https://www.paytmmoney.com/mutual-funds/amc/axis-mutual-fund
"customer.delight@sbimf.com,customer.delight@sbimf.com",https://www.paytmmoney.com/mutual-funds/amc/sbi-mutual-fund
"customer_care@nipponindiamf.com,customer_care@nipponindiamf.com",https://www.paytmmoney.com/mutual-funds/amc/reliance-mutual-fund
cybercell@paytm.com,https://paytm.com/movies/upcoming-movies/comedy
cybercell@paytm.com,https://paytm.com/movies/upcoming-movies/romantic
cybercell@paytm.com,https://paytm.com/movies/upcoming-movies/sci-fi
cybercell@paytm.com,https://paytm.com/movies/upcoming-movies/horror
"invest@uti.co.in,invest@uti.co.in",https://www.paytmmoney.com/mutual-funds/amc/uti-mutual-fund
cybercell@paytm.com,https://paytm.com/movies/upcoming-movies/mystery
"Michael.Rothstein@espn.com,ben.baby@espn.com,Michael.Rothstein@espn.com,Michael.Rothstein@espn.com,ben.baby@espn.com",https://www.espn.com/nfl/draft/news
cybercell@paytm.com,https://paytm.com/movies/upcoming-movies/english
cybercell@paytm.com,https://paytm.com/movies/upcoming-movies/telugu
cybercell@paytm.com,https://paytm.com/amusement-parks/goa
cybercell@paytm.com,https://paytm.com/amusement-parks/noida
cybercell@paytm.com,https://paytm.com/amusement-parks/chennai
cybercell@paytm.com,https://paytm.com/amusement-parks/gurgaon
cybercell@paytm.com,https://paytm.com/amusement-parks/delhi-ncr
cybercell@paytm.com,https://paytm.com/amusement-parks/lonavala
cybercell@paytm.com,https://paytm.com/amusement-parks/pune
cybercell@paytm.com,https://paytm.com/amusement-parks/kolkata
cybercell@paytm.com,https://paytm.com/amusement-parks/mumbai
cybercell@paytm.com,https://paytm.com/events/goa
cybercell@paytm.com,https://paytm.com/events/kolkata
cybercell@paytm.com,https://paytm.com/events/pune
cybercell@paytm.com,https://paytm.com/events/chandigarh
cybercell@paytm.com,https://paytm.com/events/delhi-ncr
